Customer_ID,Gender,Age,Age_Group,Married,State,Number_of_Referrals,Tenure_in_Months,Tenure_Group,Value_Deal,Phone_Service,Multiple_Lines,Internet_Service,Internet_Type,Online_Security,Online_Backup,Device_Protection_Plan,Premium_Support,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data,Contract,Paperless_Billing,Payment_Method,Monthly_Charge,Monthly_Charge_Category,Total_Charges,Total_Charges_Category,Total_Refunds,Total_Extra_Data_Charges,Total_Long_Distance_Charges,Long_Distance_Charge_Category,Total_Revenue,Revenue_Category,Customer_Status,Churn_Flag,Churn_Category,Churn_Reason
76566-UTT,Male,61,Senior,No,Uttar Pradesh,1,20,Regular Customer,Deal 3,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.75,Medium,1929,Medium,0,0,682.02,Medium,2611.02,Medium Revenue,Stayed,0,Not Churned,Not Churned
73036-JAM,Female,66,Senior,Yes,Jammu & Kashmir,10,21,Regular Customer,No Deal,Yes,No,Yes,DSL,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,49.25,Low,91.1,Low,0,0,87.98,Low,179.08,Low Revenue,Churned,1,Competitor,Competitor made better offer
42964-MAH,Female,25,Young,Yes,Maharashtra,3,25,Regular Customer,Deal 3,Yes,No,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,78.2,Medium,2078.95,Medium,0,0,1320.57,Medium,3399.52,Medium Revenue,Stayed,0,Not Churned,Not Churned
18220-JHA,Male,35,Adult,No,Jharkhand,12,19,Regular Customer,No Deal,Yes,Yes,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Credit Card,25.5,Low,630.6,Low,44.42,0,592.25,Medium,1178.43,Low Revenue,Stayed,0,Not Churned,Not Churned
47645-PUN,Male,51,Senior,Yes,Punjab,15,14,Regular Customer,No Deal,Yes,No,Yes,Cable,Yes,Yes,Yes,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,61.6,Medium,1611,Medium,44.9,0,161.25,Low,1727.35,Low Revenue,Stayed,0,Not Churned,Not Churned
82015-UTT,Female,52,Senior,No,Uttar Pradesh,7,23,Regular Customer,No Deal,No,No Phone Service,Yes,DSL,Yes,Yes,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Credit Card,45,Low,1242.45,Medium,12.26,0,0,Low,1230.19,Low Revenue,Stayed,0,Not Churned,Not Churned
15644-ASS,Female,22,Young,No,Assam,6,3,New Customer,No Deal,Yes,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,85.15,Medium,6316.2,High,0,0,2329.92,High,8646.12,High Revenue,Stayed,0,Not Churned,Not Churned
24801-WES,Female,61,Senior,Yes,West Bengal,12,28,Regular Customer,No Deal,Yes,No,Yes,Cable,No,Yes,No,No,No,No,No,Yes,One Year,No,Credit Card,51.45,Medium,727.85,Low,0,0,336.56,Low,1064.41,Low Revenue,Stayed,0,Not Churned,Not Churned
85794-JHA,Female,36,Adult,No,Jharkhand,5,4,New Customer,Deal 3,Yes,No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,99.25,Medium,3532,Medium,0,0,1274.7,Medium,4806.7,Medium Revenue,Stayed,0,Not Churned,Not Churned
72357-MAD,Female,53,Senior,No,Madhya Pradesh,14,12,Regular Customer,Deal 5,Yes,No,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,44.3,Low,44.3,Low,0,0,42.95,Low,87.25,Low Revenue,Joined,0,Not Churned,Not Churned
28648-DEL,Male,54,Senior,Yes,Delhi,3,14,Regular Customer,No Deal,Yes,No,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,94.2,Medium,2607.6,Medium,0,20,59.45,Low,2687.05,Medium Revenue,Stayed,0,Not Churned,Not Churned
85682-UTT,Female,26,Young,No,Uttarakhand,3,20,Regular Customer,No Deal,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,No,No,One Year,No,Bank Withdrawal,81.25,Medium,5567.55,High,0,40,351.36,Low,5958.91,High Revenue,Stayed,0,Not Churned,Not Churned
93096-AND,Male,31,Adult,Yes,Andhra Pradesh,9,14,Regular Customer,No Deal,Yes,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,99.95,Medium,3767.4,Medium,0,0,950.82,Medium,4718.22,Medium Revenue,Stayed,0,Not Churned,Not Churned
49974-RAJ,Female,73,Senior,No,Rajasthan,4,29,Regular Customer,No Deal,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,91.55,Medium,3673.6,Medium,0,0,1765.6,Medium,5439.2,High Revenue,Stayed,0,Not Churned,Not Churned
36405-CHH,Male,47,Adult,No,Chhattisgarh,9,26,Regular Customer,No Deal,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,104.5,High,4036.85,Medium,0,0,1507.6,Medium,5544.45,High Revenue,Churned,1,Competitor,Competitor had better devices
22439-RAJ,Female,73,Senior,Yes,Rajasthan,4,1,New Customer,Deal 4,Yes,No,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,95,Medium,1120.3,Medium,0,120,127.49,Low,1367.79,Low Revenue,Churned,1,Dissatisfaction,Product dissatisfaction
33514-UTT,Female,28,Young,Yes,Uttar Pradesh,2,3,New Customer,Deal 5,Yes,Yes,Yes,Cable,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,50.35,Medium,314.55,Low,0,0,255.96,Low,570.51,Low Revenue,Stayed,0,Not Churned,Not Churned
21555-JHA,Female,54,Senior,No,Jharkhand,15,34,Regular Customer,No Deal,Yes,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Mailed Check,64.5,Medium,1888.45,Medium,0,0,79.2,Low,1967.65,Low Revenue,Stayed,0,Not Churned,Not Churned
46640-PUN,Male,31,Adult,Yes,Punjab,8,31,Regular Customer,No Deal,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,Yes,Bank Withdrawal,19.4,Low,529.8,Low,0,0,557.82,Medium,1087.62,Low Revenue,Stayed,0,Not Churned,Not Churned
23376-TAM,Female,68,Senior,No,Tamil Nadu,3,16,Regular Customer,No Deal,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,104.8,High,7308.95,High,6.11,0,2764.3,High,10067.14,High Revenue,Stayed,0,Not Churned,Not Churned
98423-JAM,Male,65,Senior,No,Jammu & Kashmir,5,2,New Customer,No Deal,Yes,No,Yes,DSL,No,No,Yes,No,No,No,No,Yes,One Year,No,Credit Card,50.3,Medium,2878.55,Medium,10.23,0,1065.46,Medium,3933.78,Medium Revenue,Stayed,0,Not Churned,Not Churned
34135-MAH,Female,21,Young,No,Maharashtra,9,6,New Customer,No Deal,Yes,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,71.4,Medium,1212.1,Medium,0,0,411.36,Low,1623.46,Low Revenue,Stayed,0,Not Churned,Not Churned
89530-KAR,Female,58,Senior,Yes,Karnataka,15,33,Regular Customer,Deal 1,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,116,High,8182.85,High,0,0,2657.88,High,10840.73,High Revenue,Stayed,0,Not Churned,Not Churned
69173-TAM,Male,27,Young,No,Tamil Nadu,9,27,Regular Customer,Deal 5,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,Yes,Bank Withdrawal,19.85,Low,19.85,Low,0,0,31.77,Low,51.62,Low Revenue,Churned,1,Attitude,Attitude of support person
22286-HAR,Female,54,Senior,Yes,Haryana,6,36,Loyal Customer,No Deal,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,99.75,Medium,99.75,Low,0,0,40.71,Low,140.46,Low Revenue,Churned,1,Competitor,Competitor had better devices
66581-UTT,Female,73,Senior,Yes,Uttar Pradesh,8,32,Regular Customer,Deal 3,Yes,No,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Mailed Check,93.95,Medium,2861.45,Medium,0,0,1019.52,Medium,3880.97,Medium Revenue,Stayed,0,Not Churned,Not Churned
22573-TAM,Male,46,Adult,No,Tamil Nadu,9,35,Regular Customer,Deal 4,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,90.8,Medium,1442.2,Medium,0,0,779.36,Medium,2221.56,Medium Revenue,Stayed,0,Not Churned,Not Churned
25964-HAR,Male,66,Senior,Yes,Haryana,10,1,New Customer,Deal 2,Yes,Yes,Yes,Cable,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,84.35,Medium,4059.35,Medium,0,0,1937.95,Medium,5997.3,High Revenue,Churned,1,Competitor,Competitor offered higher download speeds
92186-PUN,Female,42,Adult,No,Punjab,13,12,Regular Customer,Deal 1,No,No Phone Service,Yes,Cable,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,58.25,Medium,4145.9,Medium,0,0,0,Low,4145.9,Medium Revenue,Stayed,0,Not Churned,Not Churned
39892-ODI,Male,41,Adult,Yes,Odisha,3,31,Regular Customer,No Deal,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,107.55,High,3645.5,Medium,0,0,1639.77,Medium,5285.27,High Revenue,Stayed,0,Not Churned,Not Churned
71292-MAH,Female,18,Young,No,Maharashtra,1,1,New Customer,Deal 4,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,Yes,Bank Withdrawal,19.95,Low,187.75,Low,0,0,496,Low,683.75,Low Revenue,Stayed,0,Not Churned,Not Churned
31698-PUN,Female,20,Young,Yes,Punjab,15,1,New Customer,No Deal,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,111.2,High,2317.1,Medium,0,120,761.46,Medium,3198.56,Medium Revenue,Churned,1,Attitude,Attitude of service provider
76182-UTT,Male,47,Adult,No,Uttar Pradesh,7,10,New Customer,No Deal,No,No Phone Service,Yes,DSL,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,40.2,Low,1448.8,Medium,0,0,0,Low,1448.8,Low Revenue,Churned,1,Competitor,Competitor offered more data
73588-KER,Female,72,Senior,No,Kerala,14,29,Regular Customer,No Deal,Yes,No,Yes,Fiber Optic,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,85.8,Medium,2193.65,Medium,0,0,877.24,Medium,3070.89,Medium Revenue,Stayed,0,Not Churned,Not Churned
59410-MAH,Male,50,Senior,No,Maharashtra,5,17,Regular Customer,Deal 2,No,No Phone Service,Yes,DSL,Yes,No,No,Yes,No,No,No,Yes,One Year,Yes,Credit Card,35.4,Low,1748.9,Medium,0,0,0,Low,1748.9,Low Revenue,Stayed,0,Not Churned,Not Churned
69444-JAM,Female,31,Adult,Yes,Jammu & Kashmir,5,10,New Customer,No Deal,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,73.85,Medium,511.25,Low,13.03,0,200.34,Low,698.56,Low Revenue,Churned,1,Competitor,Competitor made better offer
66365-UTT,Female,59,Senior,Yes,Uttar Pradesh,9,5,New Customer,Deal 2,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Mailed Check,88.1,Medium,5526.75,High,0,0,2878.59,High,8405.34,High Revenue,Stayed,0,Not Churned,Not Churned
66612-TEL,Female,38,Adult,Yes,Telangana,8,27,Regular Customer,Deal 4,Yes,No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,101.35,High,1553.95,Medium,0,0,688.8,Medium,2242.75,Medium Revenue,Churned,1,Attitude,Attitude of service provider
39181-WES,Male,54,Senior,Yes,West Bengal,10,7,New Customer,No Deal,No,No Phone Service,Yes,DSL,Yes,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,No,Credit Card,45.8,Low,1147,Medium,0,0,0,Low,1147,Low Revenue,Stayed,0,Not Churned,Not Churned
97688-TAM,Female,35,Adult,Yes,Tamil Nadu,4,29,Regular Customer,No Deal,Yes,No,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.65,Medium,6747.35,High,0,0,2391.84,High,9139.19,High Revenue,Stayed,0,Not Churned,Not Churned
71687-KER,Male,69,Senior,Yes,Kerala,4,12,Regular Customer,No Deal,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,Yes,Bank Withdrawal,20.5,Low,865.05,Low,0,0,1205.6,Medium,2070.65,Medium Revenue,Stayed,0,Not Churned,Not Churned
34524-MAH,Female,57,Senior,No,Maharashtra,13,23,Regular Customer,Deal 1,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,Yes,Yes,No,Month-to-Month,No,Credit Card,89.4,Medium,5976.9,High,36.02,40,3219.48,High,9200.36,High Revenue,Stayed,0,Not Churned,Not Churned
